fid,bin,bbl,gr_area,bldg_area,prop_gr,cnstrct_yr,doitt_id,heightroof,feat_code,groundelev,qa,notes,classified,digitized,newlyadded,original_source,address,borough,ownertype,zonedist1,spdist1,bbl_fixed,xcoord,ycoord
329,3027609.00000,3011287501,2411.45036,15877.84995,0.15188,2002.00000,1116128.00000,49.81724,2100,55.00000,Good,,1,0,0,classification,700 PACIFIC STREET,BK,,C4-4A,,0,-73.97282,40.68183
330,3398400.00000,3013840051,2407.86883,14062.30670,0.17123,2014.00000,1263548.00000,57.83957,2100,115.00000,Good,,1,0,0,classification,250 UTICA AVENUE,BK,P,R6,,0,-73.93144,40.66989
331,1089381.00000,1003777503,1580.46425,13755.11655,0.11490,2010.00000,1257103.00000,136.18129,2100,13.00000,Good,,1,0,0,classification,101 AVENUE D,MN,,R8A,,0,-73.97649,40.72370
332,2119194.00000,2030680077,2164.35499,6057.49363,0.35730,,1269349.00000,75.03703,2100,81.00000,Good,,1,0,0,classification,614 EAST 179 STREET,BX,P,R7-1,,0,-73.89173,40.84747
333,3396768.00000,3023497501,502.37980,33307.37725,0.01508,2009.00000,1161265.00000,68.66330,2100,18.00000,Good,,1,0,0,classification,53 NORTH 3 STREET,BK,,M1-2/R6A,MX-8,0,-73.96345,40.71823
334,3398096.00000,3023070001,7004.59378,49623.00787,0.14116,2012.00000,1264197.00000,72.89812,2100,6.00000,Good,,1,0,0,classification,236 NORTH 10 STREET,BK,P,M1-2/R6A,MX-8,0,-73.95295,40.71723
335,1087715.00000,1001427501,13361.34479,62229.61169,0.21471,2006.00000,1107623.00000,155.17253,2100,9.00000,Good,,1,0,0,classification,89 MURRAY STREET,MN,,C6-4,,0,-74.01203,40.71556
336,2120660.00000,2031780055,1681.15006,10554.66507,0.15928,2008.00000,1114712.00000,118.87599,2100,74.00000,Good,,1,0,0,classification,2065 MORRIS AVENUE,BX,P,R8,,0,-73.90555,40.85378
337,2000365.00000,2022860006,1209.33916,2568.42596,0.47085,1901.00000,740752.00000,39.97000,2100,22.00000,Good,,1,1,0,DEP,340 WILLIS AVENUE,BX,,R6,,0,-73.92097,40.81132
338,1080877.00000,1010350017,1458.56998,6008.19947,0.24276,1931.00000,569376.00000,148.18000,2100,40.00000,Good,,1,1,0,Visual - pre-classification,315 WEST 44 STREET,MN,P,C6-2,CL,0,-73.98962,40.75910
339,3007819.00000,3004600010,55.83877,723.84644,0.07714,1901.00000,499639.00000,39.06000,2100,49.00000,Good,,0,1,0,greenhomenyc.org,22 2 STREET,BK,,R6B,,0,-73.99477,40.67901
340,3396842.00000,3004137501,527.42950,12132.32572,0.04347,2011.00000,1112779.00000,119.36321,2100,28.00000,Good,,1,0,0,classification,152 4 AVENUE,BK,,R8A,EC-1,0,-73.98184,40.67972
341,1080878.00000,1010350017,160.83956,8083.35058,0.01990,1931.00000,261320.00000,136.32000,2100,39.00000,Good,,0,1,0,classification,315 WEST 44 STREET,MN,P,C6-2,CL,0,-73.98983,40.75914
342,3002320.00000,3002600018,574.19433,1633.66472,0.35148,1900.00000,68888.00000,37.96000,2100,40.00000,Good,,1,0,0,classification,17 WILLOW PLACE,BK,,R6,,0,-73.99762,40.69308
343,1012141.00000,1006420055,357.55203,1501.89614,0.23807,1905.00000,82428.00000,43.98000,2100,14.00000,Good,,1,0,0,classification,830 GREENWICH STREET,MN,,R6,,0,-74.00676,40.73866
344,1012154.00000,1006430001,1396.61179,52079.46336,0.02682,1930.00000,270007.00000,122.58000,2100,6.00000,Good,,1,0,0,classification,521 WEST STREET,MN,,C6-2A,,0,-74.00825,40.73907
